Escuela 146,T4168XEH,Tucumán
Tucumán,T4178XFC,Los Villagra
Alto de los Gimenez,T4124XDG,Tucumán
Escuela 16,T4172XAY,Tucumán
Nueva Esquina,T4161XAN,Tucumán
Bañado del Valle,T4111XAR,Tucumán
El Indio,T4142XAY,Tucumán
Kilometro 1235,T4166XAF,Tucumán
Escuela 105,T4168XEB,Tucumán
Tucumán,T4132XBQ,Colonia Santa Rita
La Tapia,T4157XAM,Tucumán
El Ceibal,T4128XAJ,Tucumán
El Atacal,T4119XCK,Tucumán
Escuela 344,T4187XCI,Tucumán
La Cañada,T4124XCZ,Tucumán
Escuela 234,T4146XAI,Tucumán
Los Bulacio,T4105XAO,Tucumán
Huasamayo Sud,T4122XAC,Tucumán
Arroyo Atahona,T4174XBY,Tucumán
Cañada Yerba Buena,T4129XAM,Tucumán
Tuscal Redondo,T4186XAB,Tucumán
Escuela 340,Buscar CPA,tucuman
La Rinconada Parada,T4107XAC,Tucumán
Manuel Garcia Fernandez,Buscar CPA,Tucumán
Escuela Gregoria Lamadrid,T4146XBJ,Tucumán
Villa de Leales,Buscar CPA,Tucumán
Escuela 291,Buscar CPA,tucuman
Tucumán,T4105XBU,San Felipe
Tucumán,T4124XEB,El Arenal
Escuela 166,T4187XBL,Tucumán
Aragones,T4142XAK,Tucumán
El Pozo,T4124XAG,Tucumán
Tucumán,T4242XBN,Pozo Hondo
Tucumán,T4111XAQ,Bajo Grande
Tucumán,T4168XER,Ruta Nacional 9
El Pacara,G4178XAB,Santiago del Estero
Escuela 17,T4146XAD,Tucumán
Gramajos,T4159XAR,Tucumán
Escuela 35,T4142XBO,Tucumán
Escuela 380,Buscar CPA,tucuman
El Manantial,Buscar CPA,tucuman
Balderrama,T4172XCH,Tucumán
La Esperanza,G4206XBM,Santiago del Estero
Sauce Gaucho,T4242XBU,Tucumán
Escuela 15,T4172XCY,Tucumán
El Gramillar,G4197XAI,Santiago del Estero
Escuela 216,T4124XBA,Tucumán
El Suncho,T4115XBQ,Tucumán
Tucumán,T4111XAX,Kilometro 794
Escuela 214,T4124XAP,Tucumán
Arroyo Mal Paso,T4157XAK,Tucumán
Caspichango Viejo,T4142XAI,Tucumán
Antillas,T4119XBO,Tucumán
Ruta Provincial 380,T4128XBO,Tucumán
El Guayacan,T4178XAC,Tucumán
Carapunco,T4137XCP,Tucumán
El Durazno,T4174XBN,Tucumán
Pozo Lindo,G4184XBB,Santiago del Estero
Burruyacu,T4119XBQ,Tucumán
Campo la Flor,T4178XAU,Tucumán
Campo Herrera,Buscar CPA,Tucumán
El Morado,Buscar CPA,tucuman
La Fronterita,T4111XBT,Tucumán
El Casial,T4137XCX,Tucumán
Ruta Provincial 308,T4158XBL,Tucumán
Chuscha,T4122XAM,Tucumán
Escuela 28,Buscar CPA,tucuman
Jusco Pozo,T4115XAN,Tucumán
Potrero de las Cabras,T4152XAH,Tucumán
Las Tres Flores,T4132XAD,Tucumán
Tucumán,T4111XCD,Campana
San Pablo,T4129XAK,Tucumán
Escuela 145,T4168XEG,Tucumán
Chañar Muya,T4168XEX,Tucumán
Tucumán,T4158XAV,El Churqui
Cevil Pozo,Buscar CPA,tucuman
El Duraznito,T4103XAJ,Tucumán
Costilla,T4142XAP,Tucumán
Escuela 107,T4101XAI,Tucumán
Paraiso,T4117XBN,Tucumán
Pozo del Alto,T4111XBP,Tucumán
Escuela 140,T4152XBA,Tucumán
Colonia el Sunchal,T4168XAC,Tucumán
Cruz del Norte Estacion Fcgm,T4178XBL,Tucumán
Tucumán,T4174XBP,El Rodeo
Tucumán,T4124XDT,El Pelado
Escuela Mario Bravo,T4162XBD,Tucumán
Capilla,T4124XDM,Tucumán
Ischillon,T4146XBM,Tucumán
Escuela 135,T4142XBE,Tucumán
San Miguel,T4122XBI,Tucumán
Los Villegas,T4115XBB,Tucumán
El Pavon,T4115XBP,Tucumán
Escuela 326,Buscar CPA,tucuman
Alizal,T4122XBE,Tucumán
Anta Chica,T4187XBI,Tucumán
Barrealito,Buscar CPA,tucuman
Barrio Belgrano,T4109XAC,Tucumán
Lastenia,Buscar CPA,Tucumán
Horco Molle,T4105XAY,Tucumán
Establecimiento las Colonias,T4115XBJ,Tucumán
Escuela 297,T4172XCW,Tucumán
El Pozo,Buscar CPA,tucuman
Tucumán,T4111XBC,Rosario Oeste
Escuela 88,T4132XCC,Tucumán
La Colonia,T4115XAA,Tucumán
Escuela 149,T4187XAT,Tucumán
Tucumán,T4176XDV,Las Animas
Escaba de Arriba,T4158XAX,Tucumán
Tucumán,T4124XBN,Molle Yaco
Tucumán,T4242XAS,El Paraiso
