id,name,zip,sate
0000756,Los Alamos,T4105XCC,Tucumán
0000757,La Pinta y la Cuarenta,T4132XAF,Tucumán
0000758,Colonia Lolita Norte,T4182XAD,Tucumán
0000759,Escuela 157,T4168XEL,Tucumán
0000760,Alderetes,Buscar CPA,Tucumán
0000761,Colonia 4,T4178XFQ,Tucumán
0000762,Cuatro Gatos,Buscar CPA,tucuman
0000763,La Reina,T4174XBT,Tucumán
0000764,Dos Pozos,T4176XBY,Tucumán
0000765,Bustamante,T4184XAB,Tucumán
0000766,Escuela 99,T4172XBX,Tucumán
0000767,Escuela Mercedes Pacheco,T4146XBL,Tucumán
0000768,Yasyamayo,T4141XAR,Tucumán
0000769,Las Moreras,T4128XAC,Tucumán
0000770,Tucumán,T4117XAY,Lujan
0000771,El Durazno,G4187XAP,Santiago del Estero
0000772,Valenzuela,T4149XAV,Tucumán
0000773,Tucumán,T4111XBV,Las Mercedes
0000774,Potro Yaco,T4122XAG,Tucumán
0000775,San Jose de la Cocha,T4163XAC,Tucumán
0000776,Alpachiri,T4149XAI,Tucumán
0000777,Los Godos,T4117XBD,Tucumán
0000778,Escuela 75,T4176XAM,Tucumán
0000779,Banda,T4137XBX,Tucumán
0000780,Los Vega,T4146XBA,Tucumán
0000781,Taco Rodeo,T4159XAM,Tucumán
0000782,Iltico,T4146XAZ,Tucumán
0000783,Tucumán,T4137XCW,San Francisco
0000784,El Alpizar,T4124XEA,Tucumán
0000785,Tucumán,T4159XAH,Zapallar
0000786,Las Palmitas,Buscar CPA,tucuman
0000787,Los Ralos,Buscar CPA,Tucumán
0000788,Escuela 289,T4152XBJ,Tucumán
0000789,Los Alcaraces,T4105XBT,Tucumán
0000790,Taquello,T4117XAP,Tucumán
0000791,Aran,T4142XAL,Tucumán
0000792,Arroyo Mal Paso,Buscar CPA,tucuman
0000793,Escuela 204,T4124XAO,Tucumán
0000794,Ingenio Leales,T4111XAV,Tucumán
0000795,Las Zorras,T4115XAP,Tucumán
0000796,Chulca,T4124XCK,Tucumán
0000797,Retiro,G5257XAA,Santiago del Estero
0000798,Villa Carolina,T4147XAD,Tucumán
0000799,Ingenio San Juan,T4109XAE,Tucumán
0000800,Escuela 314,T4187XCD,Tucumán
0000801,El Arbolar,T4141XAK,Tucumán
0000802,El Palomar,T4186XAL,Tucumán
0000803,Colonia Felipe,Buscar CPA,tucuman
0000804,San Pedro de Aranda,A4430XBB,Salta
0000805,Colonia Pedro Leon Cornet,T4147XAC,Tucumán
0000806,Taficillo,T4103XAS,Tucumán
