id,type,name,localityId
0000306,Calle,Calle Sgto Juan B Cabral,0000707
0000307,Calle,Calle Finca Lapa,0000935
0000308,Calle,Pasaje Jose Garibaldi,0001369
0000309,Calle,Calle Tambor de Tacuari,0001615
0000310,Calle,Ruta Provincial 321 Este,0000113
0000311,Calle,Calle Benjamin Araoz,0000760
0000312,Calle,Camino Al Porvenir,0000082
0000313,Calle,Calle San Juan,0000742
0000314,Calle,Calle Domingo F Sarmiento,0001157
0000315,Avenida,Calle 25 de Mayo,0000632
0000316,Calle,Calle Juan Cruz Varela,0000449
0000317,Calle,Calle Gral Mariano Acha,0001369
0000318,Pasaje,Calle Hernan Cortez,0001369
0000319,Pasaje,Calle Federico Helguera,0001369
0000320,Calle,Calle Guillermo Rawson,0001369
0000321,Calle,Calle Bolivia,0001637
0000322,Calle,Calle Ricardo Guiraldes,0001369
0000323,Calle,Calle 24 de Septiembre Oeste,0001620
0000324,Calle,Avenida Julio Argentino Roca Este,0001413
0000325,Pasaje,Calle Chaco,0000607
0000326,Calle,Calle Juan XXIII,0001637
0000327,Calle,Pasaje Ecuador,0001157
0000328,Avenida,Pasaje Raul Galan,0001369
0000329,Calle,Calle Buenos Aires,0000081
0000330,Calle,Calle Marconi,0000081
0000331,Calle,Calle Roma,0001620
0000332,Calle,Ruta Nacional Rn 157,0000081
0000333,Calle,Calle Rivadavia,0000082
0000334,Calle,Calle La Rinconada,0000081
0000335,Calle,Pasaje Pje 3,0000857
0000336,Calle,Calle Boyaca,0001369
0000337,Pasaje,Calle Teniente Julio Auvieux,0000113
0000338,Calle,Avenida Gral San Martin,0000742
0000339,Pasaje,Calle Balcarce,0000449
0000340,Calle,Calle Lavalle,0001157
0000341,Pasaje,Calle W de la Rosa,0001369
0000342,Calle,Calle Jose E Colombres,0000391
0000343,Pasaje,Calle Juan Manuel de Rosas,0001369
0000344,Calle,Calle Dr Guillermo Ludemann,0000899
0000345,Calle,Calle Gdor Juan Luis Nougues,0000113
0000346,Ruta Provincial,Calle Bernabe Araoz,0001369
0000347,Calle,Pasaje Gurruchaga,0001369
0000348,Calle,Calle 2 de Abril,0001369
0000349,Calle,Pasaje Pje 15,0001369
0000350,Calle,Calle 25 de Mayo,0000082
0000351,Avenida,Pasaje Groussac,0001369
0000352,Calle,Calle Lisandro Borda,0001637
0000353,Avenida,Pasaje Colon,0000760
0000354,Pasaje,Calle Constitucion,0001157
0000355,Pasaje,Calle Paine,0001637
0000356,Pasaje,Ruta Provincial Rp 341,0000113
0000357,Pasaje,Calle 1,0000498
0000358,Calle,Calle 9,0000760
0000359,Calle,Ruta Nacional Rn 38,0000911
0000360,Calle,Calle Campos de las Carreras,0001369
0000361,Calle,Calle Muñecas Sur,0001413
0000362,Calle,Avenida Fernando Pedro Rivera,0001615
0000363,Pasaje,Calle 12 de Octubre,0001637
0000364,Calle,Avenida Lola Mora,0001615
0000365,Pasaje,Pasaje Pedro de Valdivia,0001369
0000366,Calle,Pasaje Pje 88,0001369
0000367,Pasaje,Pasaje Arq Juan Padros,0001369
0000368,Pasaje,Pasaje Martin Rodriguez,0001369
0000369,Calle,Calle Alvarez Condarco,0001413
0000370,Calle,Calle Falucho Este,0001620
0000371,Avenida,Calle S/C,0001157
0000372,Calle,Calle 9 de Julio,0000708
0000373,Calle,Calle Diaguitas,0001637
0000374,Calle,Pasaje Jose Ortega y Gasset,0001369
0000375,Avenida,Calle Monteagudo,0000081
0000376,Calle,Pasaje Santa Rita,0000082
0000377,Calle,Calle Ramon Paz Posse,0001455
0000378,Calle,Pasaje J Azurduy de Padilla,0000760
0000379,Calle,Pasaje San Nicolas,0001461
0000380,Pasaje,Calle Jardin de la Republica,0000707
0000381,Pasaje,Calle Combate de San Lorenzo,0001369
0000382,Calle,Avenida Dr Nicolas Avellaneda,0001157
0000383,Calle,Calle Sarmiento,0001620
0000384,Calle,Calle Marcos Rouges,0001449
0000385,Calle,Calle 25 de Mayo,0000113
0000386,Calle,Avenida Mitre,0001369
0000387,Calle,Calle Gral Alejandro Heredia,0001157
0000388,Calle,Calle 321 Oeste,0000113
0000389,Pasaje,Calle Alvarez Condarco,0000760
0000390,Calle,Calle Bernardino Rivadavia,0001369
0000391,Pasaje,Pasaje Salguero,0001369
0000392,Avenida,Pasaje Tiburcio Padilla,0001369
0000393,Calle,Calle Cbo Miguel Farina,0000899
0000394,Calle,Calle Italia,0000113
0000395,Pasaje,Calle Alberdi,0001516
0000396,Calle,Calle Pres Gral J A Roca,0000225
0000397,Calle,Calle Mario Bravo,0001369
0000398,Avenida,Calle Mendoza,0001413
0000399,Calle,Calle Guatemala,0001369
0000400,Calle,Pasaje Pje 34,0001369
0000401,Avenida,Calle Pucara,0000632
0000402,Pasaje,Pasaje Espronceda,0001369
0000403,Calle,Avenida San Martin,0001445
0000404,Pasaje,Calle Costa Rica,0001620
0000405,Calle,Calle Nagib Baclini,0001369
0000406,Pasaje,Pasaje Rep de Hungria,0001369
0000407,Pasaje,Calle Balcarcel,0000857
0000408,Calle,Diagonal R Prebich,0001369
0000409,Calle,Calle Peru,0000391
0000410,Calle,Avenida Alejandro Heredia,0000760
0000411,Calle,Calle San Martin,0000708
0000412,Calle,Calle Cangallo,0001369
0000413,Pasaje,Avenida L N Alem,0000081
0000414,Pasaje,Pasaje Pje S/N 1,0000391
0000415,Calle,Calle Leon Rougues,0001445
0000416,Calle,Pasaje Evaristo Carriego,0001369
0000417,Calle,Calle Rapelli,0001369
0000418,Pasaje,Pasaje San Roque del Corro,0001369
0000419,Pasaje,Pasaje Peñaloza,0001369
0000420,Pasaje,Calle Formosa,0001637
0000421,Calle,Calle J P Pastrana,0001455
0000422,Calle,Calle Alejandro Heredia,0001637
0000423,Pasaje,Calle 14,0000742
0000424,Calle,Calle Lamadrid,0001413
0000425,Calle,Pasaje Bazan de Laguna,0001369
0000426,Calle,Pasaje Patagonia,0001413
0000427,Calle,Calle Comb de la Florida,0001369
0000428,Calle,Ruta Nacional Rn 38,0001620
0000429,Calle,Calle Uruguay,0001369
0000430,Pasaje,Calle Laprida,0001413
0000431,Calle,Pasaje 7 de Octubre,0001369
0000432,Calle,Pasaje Linares,0000857
0000433,Calle,Pasaje Surgente,0001615
0000434,Calle,Calle Pres Bartolome Mitre,0001637
0000435,Calle,Calle San Lorenzo,0000899
0000436,Calle,Pasaje Republica,0001369
0000437,Pasaje,Calle Callao,0001620
0000438,Calle,Calle Catamarca,0001177
0000439,Pasaje,Calle 2,0000760
0000440,Calle,Calle 43,0001369
0000441,Calle,Calle Garmendia,0001369
0000442,Calle,Calle 20 de Junio,0000081
0000443,Calle,Pasaje Teniente Manuel Felix Origone,0001369
0000444,Pasaje,Calle Libertad,0001620
0000445,Calle,Calle Heroes Manchala Este,0000707
0000446,Calle,Calle Bat de Tucuman,0000225
0000447,Calle,Diagonal Diag 3,0001369
0000448,Calle,Calle 24,0001615
0000449,Calle,Diagonal 15 Se,0001369
0000450,Calle,Calle Gral San Martin,0000911
0000451,Calle,Calle Gral Guemes Este,0001620
0000452,Calle,Pasaje Pje 36,0001369
0000453,Calle,Calle Padilla,0001369
0000454,Pasaje,Pasaje C Gardel,0001369
0000455,Calle,Calle Victoria Ocampo,0001177
0000456,Calle,Calle Lamadrid,0000760
0000457,Calle,Calle Geronimo de Helguera,0001369
0000458,Calle,Calle Laprida,0000760
0000459,Calle,Diagonal S Andre Surorne,0001369
0000460,Avenida,Pasaje Juan Nuñez del Prado,0001369
0000461,Calle,Diagonal Ruta 90,0001369
0000462,Calle,Calle 9 de Julio,0001177
0000463,Pasaje,Calle Gral San Martin,0001323
0000464,Calle,Calle 24 de Septiembre,0000391
0000465,Calle,Calle Chacabuco,0001620
0000466,Pasaje,Calle Juan Posse,0001369
0000467,Calle,Calle España,0000760
0000468,Calle,Calle R Saenz Peña,0001637
0000469,Calle,Calle Congreso,0001516
0000470,Calle,Calle Mexico,0001157
0000471,Pasaje,Pasaje San Juan,0000391
0000472,Calle,Calle Teniente Berdina,0001445
0000473,Calle,Calle Quiroga,0001369
0000474,Calle,Calle Gral San Martin,0001157
0000475,Pasaje,Calle Dr Filgueira Oviedo,0001637
