CP,Provincia,Localidad
1422,Capital Federal,Ciudad Autonoma Buenos Aires
1423,Capital Federal,Ciudad Autonoma Buenos Aires
1424,Capital Federal,CABA - Parque Chacabuco
1425,Capital Federal,CABA - Palermo
1426,Capital Federal,CABA - Colegiales
1427,Capital Federal,CABA - Chacarita
1428,Capital Federal,CABA - Belgrano
1429,Capital Federal,CABA - Nuñez
1430,Capital Federal,CABA - Villa Ortuzar
1431,Capital Federal,CABA - Villa Urquiza
1432,Capital Federal,Ciudad Autonoma Buenos Aires
1433,Capital Federal,Ciudad Autonoma Buenos Aires
1434,Capital Federal,Ciudad Autonoma Buenos Aires
1435,Capital Federal,Ciudad Autonoma Buenos Aires
1436,Capital Federal,Ciudad Autonoma Buenos Aires
1437,Capital Federal,CABA - Nueva Pompeya
1439,Capital Federal,CABA - Villa Lugano
1440,Capital Federal,CABA - Mataderos
1453,Capital Federal,Ciudad Autonoma Buenos Aires
1599,Capital Federal,Ciudad Autonoma Buenos Aires
1602,Buenos Aires,Florida
1603,Buenos Aires,Villa Martelli
1604,Buenos Aires,Florida Oeste
1605,Buenos Aires,Munro
1606,Buenos Aires,Carapachay
1607,Buenos Aires,Villa Adelina
1608,Buenos Aires,Troncos Del Talar
1609,Buenos Aires,Boulogne
1610,Buenos Aires,Ricardo Rojas
1611,Buenos Aires,Don Torcuato
1612,Buenos Aires,Ingeniero Adolfo Sourdeaux
1613,Buenos Aires,Los Polvorines
1614,Buenos Aires,Villa De Mayo
1615,Buenos Aires,Grand Bourg
1616,Buenos Aires,Malvinas Argentinas
1616,Buenos Aires,Pablo Nogues
1617,Buenos Aires,General Pacheco
1618,Buenos Aires,El Talar
1619,Buenos Aires,Garin
1620,Buenos Aires,Maquinista F Savio
1621,Buenos Aires,Benavidez
1621,Buenos Aires,Delta
1622,Buenos Aires,Dique Lujan
1622,Buenos Aires,Lopez Camelo
1623,Buenos Aires,Ingeniero Maschwitz
1624,Buenos Aires,Rincon De Milberg
1625,Buenos Aires,Barrio El Cazador
1625,Buenos Aires,Belen De Escobar
1625,Buenos Aires,Casa Escobar
1625,Buenos Aires,Escobar
1626,Buenos Aires,Barrio El Cazador
1627,Buenos Aires,Matheu
1627,Buenos Aires,Zelaya
1628,Buenos Aires,Loma Verde
1629,Buenos Aires,Pilar
1630,Buenos Aires,Pilar
1631,Buenos Aires,Villa Rosa
1632,Buenos Aires,Manzanares
1633,Buenos Aires,Fatima
1633,Buenos Aires,Fatima Estacion
1633,Buenos Aires,Manzone
1633,Buenos Aires,Villa Astolfi
1634,Buenos Aires,Pilar
1635,Buenos Aires,Km. 45
1635,Buenos Aires,Presidente Derqui
1636,Buenos Aires,Olivos
1637,Buenos Aires,La Lucila
1637,Buenos Aires,Olivos
1638,Buenos Aires,Vicente Lopez
1639,Buenos Aires,Martinez
1640,Buenos Aires,Martinez
1641,Buenos Aires,Acassuso
1642,Buenos Aires,San Isidro
1643,Buenos Aires,Beccar
1644,Buenos Aires,Victoria
1645,Buenos Aires,Virreyes
1646,Buenos Aires,San Fernando
1647,Entre Rios,A Baltazar Chico
1647,Entre Rios,A Bravo Gutierrez
1647,Entre Rios,A Bzo De La Tinta
1647,Entre Rios,A Des D Gutierres
1647,Entre Rios,A Desg Del Sauce
1647,Entre Rios,A Gutierrez Chico
1647,Entre Rios,A Paciencia Chico
1647,Entre Rios,A Paciencia Grande
1647,Entre Rios,A Perdido Ceibo
1647,Entre Rios,A Perdido Mosquito
1647,Entre Rios,A Sagastume Chico
1647,Entre Rios,A Sagastume Grande
1647,Entre Rios,Aero Club Canal
1647,Entre Rios,Arroyo Baltazar
1647,Entre Rios,Arroyo Boca Falsa
1647,Entre Rios,Arroyo Brazo Chico
1647,Entre Rios,Arroyo Carbon
1647,Entre Rios,Arroyo Carboncito
1647,Entre Rios,Arroyo Carpincho
1647,Entre Rios,Arroyo Correntoso
1647,Entre Rios,Arroyo Cuzco
1647,Entre Rios,Arroyo De La Rosa
1647,Entre Rios,Arroyo La Tinta
1647,Entre Rios,Arroyo Malambo
1647,Entre Rios,Arroyo Martinez
1647,Entre Rios,Arroyo Negro
1647,Entre Rios,Arroyo Pelado
1647,Entre Rios,Arroyo Piedras
1647,Entre Rios,Arroyo Qancay
1647,Entre Rios,Arroyo Ss Chico
1647,Entre Rios,Arroyo Ss Grande
1647,Entre Rios,Arroyo Tiroles
1647,Entre Rios,Brazo Largo
1647,Entre Rios,Canal Nuevo
1647,Entre Rios,Canal San Martin
1647,Buenos Aires,Delta San Fernando
1647,Entre Rios,La Chilena Canal
1647,Entre Rios,La Chilena Zanja
1647,Entre Rios,Paranacito Rio
1647,Entre Rios,Rio Paranacito
1648,Buenos Aires,Carupa
1648,Buenos Aires,Tigre
1649,Buenos Aires,Arroyo Bicho Feo
1649,Buenos Aires,Arroyo Ceibito
1649,Buenos Aires,Arroyo Cucharas
1649,Buenos Aires,Arroyo Garcete
1649,Buenos Aires,Arroyo Lara
1649,Buenos Aires,Arroyo Las Animas
1649,Buenos Aires,Arroyo Llorones
1649,Buenos Aires,Arroyo Manzano
1649,Buenos Aires,Arroyo Merlo
1649,Buenos Aires,Arroyo Mosquito
1649,Buenos Aires,Arroyo Pereyra
1649,Buenos Aires,Arroyo Pito
1649,Buenos Aires,Arroyo Platitos
1649,Buenos Aires,Lobos Arroyo
1649,Buenos Aires,Sauce Rio
1649,Buenos Aires,Tigre
1649,Buenos Aires,Z Delta S Fernando
1650,Buenos Aires,Billinghurst
1650,Buenos Aires,Fernandez Moreno
1650,Buenos Aires,General San Martin
1650,Buenos Aires,Lourdes
1650,Buenos Aires,Migueletes
1650,Buenos Aires,San Martin
1650,Buenos Aires,Villa Libertad
1650,Buenos Aires,Villa Maipu
1651,Buenos Aires,San Andres
1651,Buenos Aires,Villa Zagala
1652,Buenos Aires,Tres De Febrero
1653,Buenos Aires,Malaver
1653,Buenos Aires,Villa Ballester
1654,Buenos Aires,San Martin
1655,Buenos Aires,Chilavert
1655,Buenos Aires,Jose Leon Suarez
1657,Buenos Aires,Loma Hermosa
1657,Buenos Aires,Pablo Podesta
1657,Buenos Aires,Remedios De Escalada - Tres De Febrero
1659,Buenos Aires,Campo De Mayo
1660,Buenos Aires,Jose Clemente Paz
1661,Buenos Aires,Bella Vista
1662,Buenos Aires,Muñiz
1663,Buenos Aires,San Miguel
1664,Buenos Aires,Manuel Alberti
1664,Buenos Aires,Trujui
1665,Buenos Aires,Jose Clemente Paz
1666,Buenos Aires,Jose Clemente Paz
1667,Buenos Aires,Alberti
1667,Buenos Aires,Tortuguitas
1669,Buenos Aires,Del Viso
1670,Buenos Aires,Nordelta Tigre
1672,Buenos Aires,Villa Lynch
1674,Buenos Aires,Villa Saenz Peña
1675,Buenos Aires,Villa Raffo
1676,Buenos Aires,Santos Lugares
1678,Buenos Aires,Caseros
1682,Buenos Aires,Martin Coronado
1682,Buenos Aires,Villa Bosch
1683,Buenos Aires,Martin Coronado
1684,Buenos Aires,Ciudad Jardin Del Palomar
1684,Buenos Aires,El Palomar
1685,Buenos Aires,Ciudad Jardin El Palomar
1685,Buenos Aires,El Palomar
1686,Buenos Aires,Hurlingham
1686,Buenos Aires,William Morris
1687,Buenos Aires,Pablo Podesta
1688,Buenos Aires,Villa Santos Tesei
1688,Buenos Aires,Villa Tesey
1689,Buenos Aires,Remedios De Escalada
1689,Buenos Aires,Villa Tessei
1690,Buenos Aires,Once De Setiembre
1691,Buenos Aires,Churruca
1692,Buenos Aires,El Libertador
1701,Buenos Aires,Ciudadela
1702,Buenos Aires,Ciudadela
1703,Buenos Aires,Jose Ingenieros
1704,Buenos Aires,Ramos Mejia
1706,Buenos Aires,Haedo
1707,Buenos Aires,Domingo Faustino Sarmiento
1708,Buenos Aires,Moron
1710,Buenos Aires,Castelar
1712,Buenos Aires,Castelar
1713,Buenos Aires,Villa Gobernador Udaondo
1714,Buenos Aires,Ituzaingo
1715,Buenos Aires,Barrio Parque Leloir
1716,Buenos Aires,Libertad
1717,Buenos Aires,General Rodriguez
1718,Buenos Aires,San Antonio De Padua
1721,Buenos Aires,Parque San Martin
1722,Buenos Aires,Merlo
1723,Buenos Aires,Agustin Ferrari
1723,Buenos Aires,Mariano Acosta
1724,Buenos Aires,Mariano Acosta
1727,Buenos Aires,Marcos Paz
1731,Buenos Aires,Villars
1733,Buenos Aires,Plomer
1735,Buenos Aires,9 De Abril
1735,Buenos Aires,El Durazno
1736,Buenos Aires,Trujui
1737,Buenos Aires,Kilometro 77
1737,Buenos Aires,Km 77
1737,Buenos Aires,La Choza
1738,Buenos Aires,La Reja
1739,Buenos Aires,Estacion General Hornos
1740,Buenos Aires,Cuartel V
1741,Buenos Aires,Enrique Fynn
1741,Buenos Aires,General Hornos
1741,Buenos Aires,General Las Heras
1741,Buenos Aires,Kilometro 79
1741,Buenos Aires,Lozano
1741,Buenos Aires,Parada Km 76
1741,Buenos Aires,Plomer
1741,Buenos Aires,Speratti
1742,Buenos Aires,Paso Del Rey
1743,Buenos Aires,Moreno
1744,Buenos Aires,Moreno
1745,Buenos Aires,La Reja
1746,Buenos Aires,Francisco Alvarez
1747,Buenos Aires,General Rodriguez
1748,Buenos Aires,General Rodriguez
1748,Buenos Aires,Las Malvinas
1749,Buenos Aires,General Rodriguez
1750,Buenos Aires,Las Malvinas
1751,Buenos Aires,Villa Insuperable
