id,provincia,localidad,cpa
d74fa7f4-830b-476b-93a0-3357769e50a4,Buenos Aires,Calera Avellaneda,B7400XAC
191532a3-6d6e-4f88-aee1-a89b67497603,Buenos Aires,Calfucura,B7612XAA
29f035c5-7437-442e-9f44-7e99ffeed2c0,Buenos Aires,Calvo,B8154XAC
65785eeb-e266-4f9e-b119-2c1a70b8651c,Buenos Aires,Camaron Chico,B7116XAC
28f5184a-ec42-4920-8c7c-a1af5d7481bd,Buenos Aires,Cambaceres,B6516XAC
9b781e0a-bd53-45a2-a61a-8c1ef36db8dc,Buenos Aires,Camet,N/A
414d7164-4baf-4026-965a-4d368cd6bfdc,Buenos Aires,Caminera Azul,B7300XAA
285337c6-4fa1-400b-aa71-b7f2a03b1b54,Buenos Aires,Caminera Juarez,B7020XAA
17a067ef-30b6-4416-9579-e332d3cf45ac,Buenos Aires,Caminera Lujan,B6700XAB
830a9ed9-9362-4d17-9512-bbfaf5644e4d,Buenos Aires,Caminera Napaleofu,B7007XAC
040a29f9-79f0-44eb-a9a8-b49e7d19fd40,Buenos Aires,Caminera Samborombon,B7130XAA
6c9ae16b-233d-4613-82aa-2c3e0b7467d7,Buenos Aires,Camino Centenario Km 11500,B1896XAA
9b1d6696-d924-47fe-8be2-0f26bf7d6f15,Buenos Aires,Campamento,B7613XAA
652614d3-6d52-4f57-b221-bd7217d94d23,Buenos Aires,Campana,N/A
a0bda041-4c26-470d-bd06-b480607c28bf,Buenos Aires,Campo Aristimuño,B6474XAA
42c45974-0786-458f-bf36-bdde242a46ad,Buenos Aires,Campo Buena Vista,B2700XAB
8fb73428-80b8-4dac-b08b-c1b654705778,Buenos Aires,Campo Coliqueo,B6015XAB
2d08615e-3069-4acf-b59f-65e455f4741d,Buenos Aires,Campo Crisol,B2754XAA
14bf6872-f588-4e75-8409-5cc02ba33bf1,Buenos Aires,Campo de Mayo,N/A
eb481be0-9bc2-41fd-a9c4-3d19304ca05c,Buenos Aires,Campo del Norte Americano,B8185XAB
9a933eb1-ebcc-4d88-916d-b6fd52a5be9b,Buenos Aires,Campo Funke,B7247XAD
9d9036c9-0fcf-42ba-b6a0-d82aa5264e0a,Buenos Aires,Campo la Elisa,B2752XAD
7f26c396-4c98-474f-a4b9-2e6fb50f7e81,Buenos Aires,Campo la Lima,B8150XAA
38d19a3e-e63e-414b-a9dd-1ff4ff5a77ef,Buenos Aires,Campo la Nena,B2764XAA
567e98d6-a1a2-4e08-95d0-8a16866edf13,Buenos Aires,Campo la Plata,B7623XAB
ae024b49-de1b-4113-a2cf-08ca9aaa8675,Buenos Aires,Campo la Tribu,B6015XAC
da505744-3135-47ce-bc15-45037ab77bb7,Buenos Aires,Campo la Zulema,B8185XAC
82d368b7-054b-4bbc-b2ed-09f50f21e28e,Buenos Aires,Campo Leite,B7623XAC
a2c45a37-c30b-4b28-81f7-33e6224d6065,Buenos Aires,Campo Lope Seco,B1980XAA
a65f69a2-58e0-4506-ac86-57f36b69371c,Buenos Aires,Campo los Aromos,B8185XAE
